"name","geo","cname","region","EQIregionN2","eqi21_n2","eqi21_n2_lowME","eqi21_n2_highME","qualityp21_n2","impartialityp21_n2","corruptionp21_n2","accesInternetMenage","chomage_jeunes","coutTravail","crime_cambriolage","crime_homicide_intentionnel","crime_vol_qualifie","crime_vol_vehicule","dureeMoySejHopitaux","jeuneSansEmploiFormation","mort_infantile","NbLitHopitaux","nbPop_1erJanv","pauvreteExclusion","persSantePour1000Habs","pib_par_reg","pop_densite","popNivParEtude20_24","popNivParEtude25_64","tauxChomage","tauxmort_infantile","tauxRisquePauvrete","pib_hab","log_pib_hab","lit_hop_par_hab","cluster"
"Brandenburg","DE40","Germany","Europe de l'Ouest",104,0.889,0.622622,1.155378,0.287,1.165,1.116,NA,NA,NA,NA,NA,NA,NA,10,9.3,58,NA,2531071,NA,NA,74916.52,86.7,24.6,8.5,3,NA,NA,8640.89042675894,9.06426091514058,NA,"4"
"Bratislavský kraj","SK01","Slovakia","Europe de l'Est",1501,-1.047,-1.335692,-0.758308,-1.23,-0.817,-0.978,84.97,NA,NA,318,13,260,1311,NA,10.4,17,NA,677024,5.9,688.48,26189.74,328.8,NA,2.8,2.6,3.3,NA,796.524939172749,6.68025843981127,NA,"2"
"Braunschweig","DE91","Germany","Europe de l'Ouest",151,1.053,0.899211,1.206789,0.983,0.916,1.141,NA,NA,NA,NA,NA,NA,NA,NA,9.1,52,NA,1590577,NA,NA,75521.78,197.3,23.4,15.9,3.8,NA,NA,3827.76381145464,8.25003605042235,NA,"4"
"Bremen","DE50","Germany","Europe de l'Ouest",105,0.326,-0.067395,0.719395,-0.224,0.195,0.97,NA,NA,NA,NA,NA,NA,NA,7.6,12.5,31,NA,680130,NA,NA,31928.11,1744.5,30.8,21.8,6.9,NA,NA,183.021553453712,5.20960392434167,NA,"2"
"Bretagne","FRH0","France","Europe de l'Ouest",1813,0.873,0.618133,1.127867,0.922,0.72,0.882,85.68,10.6,NA,NA,NA,NA,NA,9.3,9.4,117,NA,3386415,NA,329.76,99654.23,122.4,6.5,12.9,5.8,3.4,NA,8141.68545751634,9.00475249622584,NA,"3"
"Bucuresti - Ilfov","RO32","Romania","Europe de l'Est",206,-2.313,-2.689938,-1.936062,-2.505,-1.863,-2.315,88.03,8,NA,2695,28,633,1069,6.5,12,112,NA,2327057,12.6,656.29,60305.36,1321.9,NA,7.7,3.5,2.9,2.9,456.202133292987,6.12293598606247,NA,"4"
"Budapest","HU11","Hungary","Europe de l'Est",1401,-1.442,-1.966708,-0.917292,-1.516,-0.868,-1.782,NA,4.8,NA,NA,NA,NA,NA,NA,8.9,46,NA,1723836,11.2,509.82,50430.8,3433.8,7.3,4.6,2.9,1.5,9.1,146.865862892422,4.98951967286915,NA,"4"
"Burgenland (AT)","AT11","Austria","Europe de l'Ouest",401,0.826,0.668967,0.983033,0.77,1.01,0.606,85.86,NA,NA,223,5,19,75,NA,8,7,NA,296010,NA,441.86,8921.61,77.8,NA,13,5.1,1,NA,1146.73650385604,7.04467536437035,NA,"2"
"Calabria","ITF6","Italy","Europe du Sud",319,-2.174,-2.309345,-2.038655,-2.255,-2.325,-1.702,70.86,37.2,NA,2531,63,821,5470,8.1,36.7,66,NA,1860601,41.6,382.98,30902.74,126.5,17.7,44.3,18,3.6,33.2,2442.90434782609,7.80094291692024,NA,"4"
"Campania","ITF3","Italy","Europe du Sud",316,-2.057,-2.288609,-1.825391,-2.252,-1.714,-1.978,78.31,37.7,NA,7861,67,11371,28979,7.3,36,170,NA,5624260,47.2,379.21,102833.91,422.2,19.5,46.6,19.3,3,37.6,2435.66816674562,7.79797639900315,NA,"3"
"Canarias","ES70","Spain","Europe du Sud",517,-0.652,-0.894348,-0.409652,-0.342,-0.604,-0.937,80.89,39.5,NA,3750,17,1944,2929,11.9,19.1,45,NA,2244369,36.3,447.03,39162.75,299.4,21.5,37.8,23.2,2.6,28.4,1308.04108216433,7.17628593990643,NA,"4"
"Cantabria","ES13","Spain","Europe du Sud",503,-0.01,-0.17259,0.15259,0.014,0.104,-0.146,83.51,19.8,NA,604,2,397,396,14.5,13.2,11,NA,583655,23.7,595.31,12866.92,110.5,14,31.4,11.5,3.2,15.4,1164.42714932127,7.05998452774639,NA,"2"
"Castilla-la Mancha","ES42","Spain","Europe du Sud",510,0.164,-0.014171,0.342171,0.239,0.256,-0.022,80.59,30.4,NA,5049,12,1220,1876,7.6,17.6,43,NA,2048656,29.8,277.04,39572.48,25.8,25.3,45.8,15.6,2.6,27.4,15338.1705426357,9.63809980722476,NA,"4"
"Castilla y León","ES41","Spain","Europe du Sud",509,-0.351,-0.586125,-0.115875,-0.429,-0.197,-0.39,79.15,23.7,NA,2802,10,1321,1410,11,13.1,42,NA,2386649,19.8,438.64,55401.69,25.6,19.9,35.9,11.4,3,17.9,21641.28515625,9.98235811919379,NA,"4"
"Cataluña","ES51","Spain","Europe du Sud",512,-0.837,-1.100745,-0.573255,-0.612,-0.658,-1.147,83.7,22.3,NA,21337,97,25154,12538,10,15,167,NA,7671252,22.8,468.71,212931.31,238.1,21.9,34.3,11.6,2.5,14.8,8942.93616127677,9.09861924391936,NA,"1"
"Centre - Val de Loire","FRB0","France","Europe de l'Ouest",1802,0.6,0.417752,0.782248,0.267,0.811,0.655,83.86,13.8,NA,NA,NA,NA,NA,9.6,12.8,94,NA,2567768,NA,257.74,71572.78,65.4,11.3,19.1,7.2,3.6,NA,10943.8501529052,9.30053294759984,NA,"4"
"Centro (PT)","PT16","Portugal","Europe du Sud",2003,0.042,-0.302211,0.386211,0.318,0.023,-0.22,72.44,15.1,NA,5568,24,1420,4185,NA,8.8,42,NA,2229331,19.4,533.58,38407.08,79.2,9.5,43.7,5.8,2.5,19.9,4849.37878787879,8.4866058907545,NA,"4"
"Centru","RO12","Romania","Europe de l'Est",202,-0.95,-1.227606,-0.672394,-1.514,-0.541,-0.689,72.34,13.4,NA,1555,42,234,131,8.3,23.1,187,NA,2302833,27.2,334.71,24568.16,68.2,20.5,20.6,5.1,7.4,20.2,3602.36950146628,8.18934710278071,NA,"4"
